win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,inhibitorKills_0,inhibitorKills_1,inhibitorKills_2,inhibitorKills_3,inhibitorKills_4,inhibitorKills_5,inhibitorKills_7,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6,inhibitorKills_6,dragonKills_6
False,False,0,False,21,False,True,False,False,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,42,True,True,True,False,0,True,9,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,
False,False,1,False,45,False,False,False,False,0,False,5,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
True,True,1,False,23,False,False,True,False,0,False,6,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,27,False,False,True,False,0,True,7,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,True,2,True,31,False,True,True,True,1,True,11,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,37,True,True,True,True,1,True,8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,59,False,False,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,
False,False,0,True,22,True,True,False,False,0,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
True,True,1,True,35,True,True,True,False,0,True,10,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,13,True,False,False,False,0,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
True,True,1,True,28,True,False,True,True,1,True,8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,
True,False,0,True,26,False,False,True,False,0,True,10,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,
True,True,1,True,38,True,True,True,False,0,True,9,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,
False,True,2,False,46,True,False,True,False,0,True,11,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,True,1,True,48,True,False,True,True,1,True,7,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,
False,False,0,False,30,False,True,False,False,0,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,
False,False,0,True,19,True,False,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,10,True,False,False,True,1,False,3,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,50,False,True,True,False,0,False,8,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,
False,False,0,True,8,True,True,False,False,0,False,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,
True,True,1,False,43,False,True,True,False,0,True,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,37,True,False,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
True,True,2,False,45,False,True,True,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,
True,True,1,False,26,True,False,True,True,1,True,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
False,False,0,False,33,True,False,False,False,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,25,False,True,False,True,1,True,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,
True,True,1,False,28,True,True,True,False,0,True,8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,
True,False,0,True,41,False,True,True,True,1,False,10,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
False,False,0,True,30,False,False,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,41,False,False,True,True,1,False,10,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,4,False,True,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,
False,False,0,False,23,False,True,False,True,1,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,10,True,True,False,False,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
True,True,1,False,40,True,False,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,
False,True,1,True,22,False,True,True,False,0,True,8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,False,28,False,True,True,True,1,True,9,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,
True,True,1,False,31,True,False,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,
True,True,2,True,52,True,True,True,False,0,True,11,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,
False,False,0,False,31,False,True,False,False,0,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,30,True,True,True,True,1,True,11,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,
True,False,1,True,56,True,True,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,
True,False,0,True,44,False,False,True,True,1,True,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,
True,False,1,False,64,False,False,False,False,0,True,9,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,39,True,False,True,False,0,True,10,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,19,True,True,False,False,0,False,7,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,True,40,True,False,False,True,1,True,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,
False,False,0,False,34,True,False,False,True,1,True,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,,
False,False,0,False,29,True,False,False,False,0,False,5,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
True,False,0,False,38,True,True,True,True,1,True,8,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,True,17,False,True,False,False,0,False,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,
False,False,0,False,28,True,False,False,False,0,True,5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,True,1,False,30,True,False,False,False,0,False,5,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,46,False,True,True,True,1,True,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,
True,False,0,True,3,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,25,True,False,False,True,1,False,3,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,20,False,False,False,True,1,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,
True,True,2,False,47,True,False,True,True,1,False,11,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
True,False,0,False,37,False,True,True,True,1,False,7,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,58,False,True,True,True,1,True,11,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,
True,False,0,False,25,True,True,False,False,0,False,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,True,1,False,15,False,False,False,False,0,False,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,
False,False,0,False,23,True,False,False,True,1,False,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,
True,True,1,True,55,True,True,True,False,0,True,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
False,False,0,False,32,True,True,True,True,1,True,9,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
False,False,0,False,38,True,False,False,False,0,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,15,False,True,False,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
False,True,1,True,26,False,False,False,False,0,True,5,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,1,True,59,True,False,True,False,0,True,11,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,
True,True,1,True,40,False,True,False,True,1,False,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,
True,True,1,False,39,True,True,True,True,1,False,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,
False,True,1,True,29,True,False,True,False,0,True,5,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
True,True,1,False,26,False,True,True,True,1,True,10,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,25,False,False,False,True,1,False,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,14,True,False,False,False,0,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,19,False,False,False,True,1,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
True,False,0,True,37,False,False,True,True,1,True,8,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,14,True,False,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,
True,False,0,False,34,False,False,True,False,0,False,10,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,True,30,False,True,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,
False,True,1,False,60,True,True,False,False,0,False,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,
True,False,0,True,28,False,True,False,False,0,True,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,
False,False,0,False,20,False,False,False,True,1,False,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,
False,False,0,False,10,True,False,False,False,0,False,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,34,True,True,True,True,1,True,6,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,
True,True,1,False,36,False,True,True,False,0,True,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
False,False,0,False,22,True,False,False,False,0,False,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,True,1,True,27,False,True,False,True,1,True,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,
True,True,2,False,49,False,False,False,False,0,False,11,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,
False,False,0,True,33,True,True,False,False,0,False,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
True,True,1,True,33,False,True,True,True,1,True,10,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,
False,False,0,True,41,False,True,False,True,1,False,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,10,False,True,False,False,0,True,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,
True,True,1,True,32,False,False,True,True,1,False,11,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,,
False,False,0,False,24,False,False,True,True,1,False,5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,
False,False,0,True,38,False,True,False,True,1,True,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
True,False,0,True,44,False,True,True,False,0,True,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,True,26,True,False,False,True,1,False,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,,
True,True,1,False,43,True,False,True,True,1,True,10,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,
True,True,2,True,49,False,False,False,True,1,True,9,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,17,False,False,False,False,0,False,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,True,1,False,33,True,True,False,False,0,True,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
False,False,0,False,20,False,False,False,False,0,True,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,65,False,False,True,False,0,True,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,True,2,True,46,True,True,True,False,0,False,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,
False,False,0,True,54,False,False,False,False,0,False,2,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,True,1,True,29,False,True,True,True,1,True,10,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,
False,False,0,False,19,True,False,False,False,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,60,False,False,False,False,0,True,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,62,False,False,False,False,0,True,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,53,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,61,False,False,True,False,0,False,3,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,48,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,45,False,False,False,False,0,True,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,51,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,56,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,22,True,False,False,False,0,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,41,True,False,True,True,1,True,10,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
True,True,2,True,49,False,True,True,True,1,True,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,
True,True,1,True,23,True,False,True,True,1,True,11,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,
True,False,0,True,43,True,True,False,True,1,True,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,
False,False,0,False,22,False,True,False,False,0,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,34,True,True,True,True,1,True,4,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
True,True,1,False,33,False,False,True,True,1,True,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,
False,False,1,False,35,True,False,False,True,1,False,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,60,False,False,True,False,0,True,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,False,42,False,False,False,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,76,False,False,False,False,0,True,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,51,False,False,True,False,0,True,2,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,53,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,51,False,False,False,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,1,True,53,False,True,False,False,0,True,8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
False,True,1,False,60,False,False,False,False,0,False,8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,,
True,False,0,False,46,True,False,True,False,0,False,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,,
True,True,2,False,44,True,False,True,False,0,False,10,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,
False,False,0,True,20,False,False,False,True,1,False,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,2,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,
True,False,0,False,45,True,False,True,True,1,True,8,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
False,False,1,True,56,False,True,False,False,0,True,5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,
False,False,0,False,0,False,False,False,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,37,False,True,True,True,1,True,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
True,False,0,False,41,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,12,True,False,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,True,1,False,39,False,True,True,False,0,True,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,
True,True,2,True,62,True,False,True,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,
True,False,0,False,55,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,False,86,False,False,True,False,0,False,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,55,False,False,True,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,33,True,False,False,True,1,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,True,1,False,45,False,True,True,False,0,True,8,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,
True,False,0,False,52,False,True,False,False,0,False,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,
False,False,0,False,52,True,False,False,True,1,True,6,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
True,False,1,False,44,False,False,True,False,0,False,10,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
False,True,1,False,37,True,True,False,False,0,True,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,
False,False,1,True,29,False,True,False,False,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,
